,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up
000423,0.036181606352329254,0.028007054701447487,0.8796517252922058,0.8740106225013733,0.08416666090488434,0.09798235446214676,0.06418866105377674,0.1821490153670311
000425,0.05556865409016609,0.031159039586782455,0.874865710735321,0.8608948588371277,0.06956560909748077,0.10794616490602493,0.08672769367694855,0.1775117740035057
000426,0.14819180965423584,0.28834083676338196,0.36063504219055176,0.6151621341705322,0.49117311835289,0.0964970663189888,0.4365326464176178,0.5876701846718788
000428,0.01541733555495739,0.06104010343551636,0.9561355113983154,0.8472235798835754,0.028447160497307777,0.09173627197742462,0.07645743899047375,0.1201834324747324
000429,0.0239128265529871,0.03922361508011818,0.9084025621414185,0.9373082518577576,0.06768463551998138,0.02346809022128582,0.06313644163310528,0.0911527257412672
000430,0.03320566937327385,0.02624398097395897,0.9345479607582092,0.876981258392334,0.03224637731909752,0.09677483141422272,0.05944965034723282,0.12902120873332024
000488,0.23763073980808258,0.06476785242557526,0.4159647524356842,0.7197647094726562,0.346404492855072,0.2154674381017685,0.30239859223365784,0.5618719309568405
000498,0.10204263031482697,0.014663279987871647,0.8064799904823303,0.8922631144523621,0.09147744625806808,0.09307362139225006,0.11670591030269861,0.18455106765031815
000501,0.04162029176950455,0.014802064746618271,0.8693926334381104,0.866626501083374,0.08898704499006271,0.11857146769762039,0.05642235651612282,0.2075585126876831
000502,0.057863157242536545,0.15860041975975037,0.8797531127929688,0.7332998514175415,0.062383729964494705,0.10809971392154694,0.2164635770022869,0.17048344388604164
000505,0.08745454996824265,0.03949392959475517,0.8421160578727722,0.855678915977478,0.07042931765317917,0.1048271432518959,0.12694847956299782,0.17525646090507507
000507,0.027988122776150703,0.00043558271136134863,0.7929118871688843,0.9938244819641113,0.17909999191761017,0.005739912856370211,0.028423705487512052,0.18483990477398038
000510,0.16440647840499878,0.17592790722846985,0.6521525979042053,0.6877604126930237,0.1834409534931183,0.13631175458431244,0.34033438563346863,0.3197527080774307
000513,0.08078943192958832,0.011707756668329239,0.8597350120544434,0.9274211525917053,0.05947551131248474,0.060871001332998276,0.09249718859791756,0.12034651264548302
000514,0.002825014991685748,0.005338224582374096,0.8470109105110168,0.9699229001998901,0.15016408264636993,0.024738840758800507,0.008163239574059844,0.17490292340517044
000516,0.017799729481339455,0.00298669352196157,0.9765333533287048,0.9812127947807312,0.005666977260261774,0.015800556167960167,0.020786423003301024,0.02146753342822194
000517,0.05095445364713669,0.03639307990670204,0.917773425579071,0.8799223899841309,0.031272053718566895,0.08368454873561859,0.08734753355383873,0.11495660245418549
000518,0.22609581053256989,0.07352470606565475,0.6803571581840515,0.870060920715332,0.09354705363512039,0.05641444772481918,0.29962051659822464,0.14996150135993958
000519,0.0248334389179945,0.013768848031759262,0.957471489906311,0.8066951036453247,0.017695089802145958,0.17953598499298096,0.03860228694975376,0.19723107479512691
000520,0.04915777966380119,0.007839018478989601,0.9465718865394592,0.985129714012146,0.004270355682820082,0.007031325250864029,0.056996798142790794,0.01130168093368411
000521,0.002225366421043873,0.0018884353339672089,0.941978931427002,0.9555711150169373,0.055795636028051376,0.04254041984677315,0.004113801755011082,0.09833605587482452
000523,0.003018805058673024,0.00434211827814579,0.9707062840461731,0.9741604924201965,0.02627490647137165,0.021497473120689392,0.007360923336818814,0.04777237959206104
000524,0.05158853530883789,0.009490097872912884,0.7618609070777893,0.9006345868110657,0.1865505576133728,0.089875228703022,0.061078633181750774,0.2764257863163948
000525,0.019114116206765175,0.01622585766017437,0.8459392786026001,0.9321423172950745,0.13494658470153809,0.05163181200623512,0.035339973866939545,0.1865783967077732
000526,0.09522204101085663,0.004973135888576508,0.8390639424324036,0.9047495722770691,0.06571397185325623,0.09027723222970963,0.10019517689943314,0.15599120408296585
